,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
76,2007-03-27 09:00:00,65,-0.2,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,3,2,3,1,4,1,9,-8,3,-9,3,-9,13,-5,17,4,21,-6,7,1
77,2007-03-28 10:30:00,18,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,18,7,9,2,5,3,8,7,6,5,5,6,19,3,27,-7,20,1,-27,0
78,2007-03-29 10:30:00,46,-0.51,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,2,-2,1,-1,5,4,3,2,6,-1,4,-1,8,-1,11,-1,10,2,3,1
79,2007-03-30 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,13,4,1,12,0,3,-1,6,3,17,-10,9,-15,5,-15,24,-6,24,-2,24,-2,69,2
80,2007-04-03 01:00:00,67,-0.1,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,2,1,2,0,2,0,2,0,1,-1,2,0,6,-3,13,-10,4,1,2,1
81,2007-04-03 10:00:00,50,1.0,0,-0.1,0,0,1,0,1,0,0,1,0,0,2007,14,1,1,5,-4,10,5,4,4,8,-1,2,-1,3,0,13,-1,13,2,12,0,-26,0
82,2007-04-04 08:15:00,0,-19.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,14,2,1,7,6,3,8,3,8,2,7,9,-3,6,-5,14,0,17,8,12,4,13,1
83,2007-04-04 10:30:00,18,1.09,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,9,6,9,12,7,6,3,6,9,2,7,9,17,2,17,-3,28,14,0,1
84,2007-04-05 08:30:00,69,0.84,0,1.41,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,7,-4,4,0,5,0,3,1,7,6,4,5,34,12,60,39,22,9,42,2
85,2007-04-05 10:30:00,46,0.44,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,4,1,2,-1,2,0,3,2,3,2,3,2,9,0,13,-3,16,5,-5,1
