,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
84,2007-03-08 09:30:00,46,-0.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,5,-1,-2,9,5,5,9,-3,-7,5,-6,-2,5,-1,3,5,-1,-2,54,-28,-1,1
85,2007-03-09 08:30:00,68_48_70_3,-4.3,0,2.1,0,6,5,0,8,3,0,3,0,1,2007,10,4,4,31,-23,-13,19,-43,-17,7,-43,1,16,-58,-13,10,-57,-2,8,-57,0,38,-3,-46,0
86,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,11,10,10,8,4,-5,5,7,2,8,10,4,3,10,0,6,6,-3,21,1,18,2
87,2007-03-12 15:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,11,0,1,5,1,1,5,1,2,5,-1,-2,5,1,1,4,4,2,3,5,0,27,7,1,1
88,2007-03-13 08:30:00,17_60,-1.8000000000000003,0,-0.30000000000000004,0,0,0,6,3,0,3,2,0,0,2007,11,1,2,25,18,17,12,12,-4,10,19,8,7,20,1,7,22,2,9,24,2,30,-5,25,2
89,2007-03-13 10:00:00,5,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,1,1,4,0,-1,4,1,0,6,-4,-4,5,-4,-1,9,-10,-5,6,-13,-3,14,-9,-12,1
90,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,3,1,1,3,0,0,4,2,1,3,4,0,4,1,-3,6,1,0,17,-13,9,1
91,2007-03-14 08:30:00,41_19,0.8,0,2.0,0,0,2,2,0,2,2,0,0,2,2007,11,2,2,11,-5,-5,9,-8,-2,9,-6,5,7,-8,-3,7,-6,2,6,-6,-1,14,10,0,1
92,2007-03-14 10:30:00,18,-0.27,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,5,0,-1,14,12,10,11,5,-9,5,8,2,8,2,-6,5,4,2,33,30,13,1
93,2007-03-15 08:30:00,69_21_49_16,-23.87,0,1.53,0,0,6,2,8,0,0,1,1,2,2007,11,3,4,30,13,15,9,10,-3,8,4,-4,7,4,2,6,8,3,5,4,-5,30,-6,15,2
