,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
66,2007-02-27 09:00:00,65,-0.71,-0.71,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,-2,0,0,4,-2,-1,0,0,4,-5,-3,0,0,6,-4,0,0,0,7,-1,3,0,0,5,-5,-4,0,0,23,13,8,0
67,2007-02-27 10:00:00,64_23_6,3.55,3.55,0,6,1,4,3,0,2,1,0,2007,9,1,3,19,-13,-11,-1,-1,12,-22,-12,-1,-2,6,-23,-1,0,-2,8,-17,5,0,-1,4,-16,2,0,-1,7,-12,3,0,-1,26,4,-1,0
68,2007-02-28 08:30:00,55_54,0.0,0.0,0,1,3,4,0,0,1,1,0,2007,9,2,2,14,-8,-6,0,0,15,4,11,1,0,8,0,-3,0,0,9,2,3,0,0,11,-5,-9,0,0,7,-5,1,0,0,26,22,1,0
69,2007-02-28 09:45:00,10,1.42,1.42,0,0,2,2,0,0,0,0,1,2007,9,2,1,7,-6,-4,0,0,5,-4,2,0,0,5,-4,2,0,0,6,1,0,0,0,6,-1,0,0,0,3,-2,0,0,0,26,-12,14,1
70,2007-02-28 10:00:00,47,-2.13,-2.13,0,0,3,0,3,0,1,0,0,2007,9,2,1,6,5,0,0,0,6,3,0,0,0,3,2,0,0,0,6,3,2,0,0,5,2,1,0,0,14,-8,-10,-1,0,20,-1,9,0
71,2007-02-28 10:30:00,18,0.25,0.25,1,0,0,1,0,0,0,1,0,2007,9,2,1,14,-9,-10,-1,0,9,-1,6,0,0,5,-3,-2,0,0,10,-1,1,0,0,8,3,5,0,0,13,11,9,0,1,30,-8,24,2
72,2007-03-01 00:00:00,67,0.71,0.71,0,1,0,1,0,0,0,1,0,2007,9,3,1,6,1,2,0,0,5,0,-2,0,0,9,1,3,0,0,5,0,0,0,0,5,1,-1,0,0,3,1,-1,0,0,10,-1,15,1
73,2007-03-01 08:30:00,69_15_52_51,4.4399999999999995,4.54,0,6,1,7,0,0,1,2,1,2007,9,3,4,8,2,3,0,0,9,4,3,0,0,9,1,-2,0,0,6,-4,-3,0,0,5,-3,0,0,0,7,0,2,0,0,19,-1,-39,-2
74,2007-03-01 09:30:00,46,-1.01,-1.01,1,0,0,1,0,0,0,1,0,2007,9,3,1,11,5,4,0,0,6,2,-5,0,0,7,-3,-3,0,0,4,0,2,0,0,7,2,1,0,0,13,-8,-10,-1,0,18,0,-52,-2
75,2007-03-01 10:00:00,11_38_39,2.13,2.13,0,4,1,4,1,0,1,2,0,2007,9,3,3,17,-14,-9,0,-1,8,-11,2,0,-1,8,-18,-6,0,-1,22,-37,-18,-1,-2,15,-24,13,1,-2,10,-30,-7,0,-2,40,-10,-25,-2
76,2007-03-02 10:00:00,63,-1.42,1.42,0,0,2,2,0,0,0,0,1,2007,9,4,1,8,5,4,0,0,12,1,-5,0,0,8,-1,-2,0,0,15,-5,-3,0,0,5,-7,-2,0,0,5,-8,0,0,0,21,-5,26,2
77,2007-03-05 10:00:00,40,-2.13,-2.13,0,0,3,3,0,0,1,0,0,2007,10,0,1,14,13,11,1,1,11,7,-5,0,0,7,9,2,0,0,7,9,-2,0,0,2,12,2,0,1,7,12,0,0,1,40,14,-5,0
78,2007-03-06 08:30:00,61_62,0.0,0.0,2,1,0,3,0,0,0,1,1,2007,10,1,2,10,-5,-5,0,0,7,-8,-1,0,0,8,-8,-1,0,0,5,-6,2,0,0,5,-12,-4,0,-1,4,-12,0,0,-1,14,-2,8,0
79,2007-03-06 10:00:00,50_24,-3.55,-3.55,0,0,5,0,2,3,1,0,1,2007,10,1,2,6,0,-2,0,0,10,-4,-5,0,0,5,1,3,0,0,4,2,1,0,0,4,2,1,0,0,6,-2,-3,0,0,18,10,7,0
80,2007-03-07 08:15:00,0,-1.42,-1.42,0,0,2,0,0,2,0,0,1,2007,10,2,1,12,4,3,0,0,9,-3,-6,0,0,6,-1,3,0,0,3,0,0,0,0,4,2,2,0,0,5,4,1,0,0,17,3,14,1
81,2007-03-07 10:30:00,18,1.23,1.23,1,0,0,1,0,0,0,1,0,2007,10,2,1,7,5,5,0,0,4,4,-1,0,0,5,-1,-3,0,0,5,2,1,0,0,7,-1,-3,0,0,5,-1,0,0,0,21,10,25,2
82,2007-03-07 15:00:00,12,-0.54,-0.71,0,0,1,0,0,1,0,1,0,2007,10,2,1,7,-1,-2,0,0,6,0,3,0,0,4,-1,-1,0,0,4,-2,0,0,0,6,-4,-2,0,0,4,-5,-2,0,0,24,21,-7,0
83,2007-03-08 08:30:00,69,0.79,0.8,1,0,0,1,0,0,0,1,0,2007,10,3,1,8,-6,-6,0,0,5,-6,1,0,0,17,-7,-2,0,0,10,-10,-1,0,-1,8,-6,5,0,0,20,-18,-12,-1,-1,19,2,-34,-2
84,2007-03-08 09:30:00,46,0.59,0.59,1,0,0,1,0,0,0,1,0,2007,10,3,1,5,-1,-2,0,0,9,5,5,0,0,9,-3,-7,0,0,5,-6,-2,0,0,5,-1,3,0,0,5,-1,-2,0,0,54,-28,3,0
