,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
144,2007-12-27 10:00:00,4,1.46,1.56,0,1,0,0,1,0,1,2007,52,3,1,12,0,0,9,-3,-2,14,5,7,2,0
145,2007-12-28 10:00:00,21,-1.38,-0.92,0,0,1,0,0,1,1,2007,52,4,1,26,22,22,19,24,1,13,22,-1,22,2
146,2007-12-31 10:00:00,14,0.76,0.71,0,1,0,1,0,0,1,2007,52,0,1,18,-12,-12,28,-24,-12,21,-40,-15,-52,-2
147,2008-01-02 10:00:00,17,-1.68,-1.68,0,0,1,1,0,0,1,2008,1,2,1,37,37,35,14,38,1,19,49,10,53,2
148,2008-01-03 08:15:00,0,-0.38,-0.34,1,0,0,0,0,1,1,2008,1,3,1,21,-4,2,34,-26,-21,16,-17,9,-38,-2
149,2008-01-04 10:00:00,18,-0.15,-0.15,0,1,0,1,0,0,1,2008,1,4,1,35,-12,-11,20,-20,-6,21,-25,2,-13,-1
150,2008-01-08 10:00:00,24,-0.44,0.35,0,0,1,0,1,0,1,2008,2,1,1,24,-5,-7,16,-7,-3,9,-6,3,-16,-1
151,2008-01-11 08:30:00,31,-1.65,-1.43,0,0,1,1,0,0,1,2008,2,4,1,28,-3,-5,14,1,4,12,1,0,6,0
152,2008-01-16 08:30:00,7,-0.45,-0.45,1,0,0,1,0,0,1,2008,3,2,1,27,1,2,26,-12,-14,17,-8,5,11,1
153,2008-01-16 09:00:00,30,0.53,0.68,0,1,0,1,0,0,1,2008,3,2,1,11,-4,-5,15,7,11,13,9,3,24,2
154,2008-01-17 08:30:00,3,-1.15,-0.99,0,0,1,1,0,0,1,2008,3,3,1,26,-20,-22,15,-26,-1,21,-18,8,-35,-2
155,2008-01-18 10:00:00,28,1.53,1.45,0,1,0,0,1,0,1,2008,3,4,1,16,-6,-6,9,-6,-1,12,-5,-2,-37,-2
156,2008-01-24 08:30:00,32,0.45,0.49,0,1,0,1,0,0,1,2008,4,3,1,25,10,12,10,10,-2,10,14,2,48,2
