,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,pips_agg_0_60_after,direction_agg_0_60_after
174,2007-05-10 14:00:00,25,0.2,0.2,0,2,0,2,0,0,0,0,1,2007,19,3,1,10,1
175,2007-05-11 08:30:00,17_60_49_16,-9.35,-7.3100000000000005,0,3,8,5,6,0,3,0,1,2007,19,4,4,4,0
176,2007-05-11 10:00:00,5,2.5,2.36,0,2,0,0,2,0,0,0,1,2007,19,4,1,17,1
177,2007-05-15 08:30:00,21_13_8,-2.32,-0.32999999999999985,3,0,4,7,0,0,1,0,2,2007,20,1,3,4,0
178,2007-05-15 09:00:00,66,-0.12,-0.42000000000000004,0,0,3,3,0,0,1,0,0,2007,20,1,1,-9,0
179,2007-05-15 10:00:00,37,1.38,1.38,0,1,0,1,0,0,0,1,0,2007,20,1,1,49,2
180,2007-05-15 13:00:00,44,-0.84,-0.77,0,0,1,1,0,0,0,1,0,2007,20,1,1,-9,0
181,2007-05-16 08:30:00,4_36,-2.62,-2.94,0,2,2,0,2,2,0,0,2,2007,20,2,2,-3,0
182,2007-05-16 09:15:00,9_42,1.7799999999999998,0.92,0,4,0,0,0,4,0,0,2,2007,20,2,2,-9,0
183,2007-05-16 10:30:00,18,0.62,0.62,1,0,0,1,0,0,0,1,0,2007,20,2,1,-31,-2
184,2007-05-17 08:30:00,69,0.6,0.68,0,1,0,1,0,0,0,1,0,2007,20,3,1,-27,-2
185,2007-05-17 10:00:00,7,-1.72,0.72,0,0,1,0,1,0,0,1,0,2007,20,3,1,-2,0
186,2007-05-17 10:30:00,46,1.04,1.04,1,0,0,1,0,0,0,1,0,2007,20,3,1,2,0
187,2007-05-17 12:00:00,53,0.86,0.86,0,2,0,2,0,0,0,0,1,2007,20,3,1,5,0
188,2007-05-18 10:00:00,58,1.83,2.8499999999999996,0,3,0,0,3,0,1,0,0,2007,20,4,1,8,0
189,2007-05-22 10:00:00,64,0.5,0.5,0,0,1,1,0,0,0,1,0,2007,21,1,1,11,1
190,2007-05-23 10:30:00,18,-0.26,-0.26,1,0,0,1,0,0,0,1,0,2007,21,2,1,0,0
191,2007-05-24 08:30:00,69_14_20,-0.9799999999999998,-0.19999999999999973,0,3,4,2,2,3,1,0,2,2007,21,3,3,3,0
192,2007-05-24 10:00:00,47,3.93,3.63,0,3,0,0,0,3,1,0,0,2007,21,3,1,-14,-1
193,2007-05-24 10:30:00,46,-1.17,-1.17,1,0,0,1,0,0,0,1,0,2007,21,3,1,1,0
194,2007-05-25 10:00:00,23,-1.47,-1.32,0,0,3,0,3,0,1,0,0,2007,21,4,1,13,1
195,2007-05-29 09:00:00,65,0.44,0.75,0,0,1,0,1,0,0,1,0,2007,22,1,1,-2,0
196,2007-05-29 10:00:00,6,3.24,3.99,0,3,0,0,3,0,1,0,0,2007,22,1,1,-17,-1
197,2007-05-30 08:15:00,0,0.63,1.0499999999999998,0,0,3,3,0,0,1,0,0,2007,22,2,1,5,0
198,2007-05-31 08:30:00,69_55_54,-3.46,0.7999999999999998,2,0,3,5,0,0,1,2,0,2007,22,3,3,0,0
199,2007-05-31 09:45:00,10,1.3,1.3,0,2,0,2,0,0,0,0,1,2007,22,3,1,-14,-1
200,2007-05-31 10:00:00,11,-0.67,-0.43,1,0,0,0,1,0,0,1,0,2007,22,3,1,3,0
201,2007-05-31 10:30:00,18_46,1.42,1.42,2,0,0,2,0,0,0,2,0,2007,22,3,2,15,1
202,2007-06-01 01:00:00,67,-0.41,-0.41,1,0,0,1,0,0,0,1,0,2007,22,4,1,-4,0
203,2007-06-01 08:30:00,15_52_51_48_70_3,-1.1800000000000002,-2.13,5,5,4,8,3,3,3,1,2,2007,22,4,6,-7,0
204,2007-06-01 10:00:00,38_50_39_63,-0.9499999999999998,-3.5599999999999996,2,3,4,6,3,0,2,1,1,2007,22,4,4,-3,0
205,2007-06-04 10:00:00,24,-1.84,-1.18,0,0,2,0,2,0,0,0,1,2007,23,0,1,-5,0
206,2007-06-05 10:00:00,40,3.2700000000000005,3.2700000000000005,0,3,0,3,0,0,1,0,0,2007,23,1,1,0,0
207,2007-06-06 08:30:00,61_62,0.71,-0.71,2,1,0,3,0,0,0,1,1,2007,23,2,2,-14,-1
208,2007-06-06 10:30:00,18,0.21,0.21,1,0,0,1,0,0,0,1,0,2007,23,2,1,-10,-1
209,2007-06-07 08:30:00,69,-0.54,-0.24,0,2,0,2,0,0,0,0,1,2007,23,3,1,1,0
210,2007-06-07 10:00:00,31,0.3,0.19,1,0,0,0,0,1,0,1,0,2007,23,3,1,-21,-2
211,2007-06-07 10:30:00,46,-0.53,-0.53,1,0,0,1,0,0,0,1,0,2007,23,3,1,-5,0
212,2007-06-07 15:00:00,12,-0.66,-0.58,0,0,1,0,1,0,0,1,0,2007,23,3,1,-2,0
213,2007-06-08 08:30:00,68,4.199999999999999,4.4399999999999995,0,3,0,0,3,0,1,0,0,2007,23,4,1,-4,0
214,2007-06-12 10:00:00,37,0.55,0.55,0,1,0,1,0,0,0,1,0,2007,24,1,1,7,0
215,2007-06-12 14:00:00,25,-1.24,-1.24,2,0,0,2,0,0,0,0,1,2007,24,1,1,-10,-1
216,2007-06-13 08:30:00,17_60_41,9.799999999999999,3.8600000000000003,0,8,0,2,6,0,2,0,1,2007,24,2,3,4,0
217,2007-06-13 10:00:00,5,-1.7,-2.38,0,0,2,0,0,2,0,0,1,2007,24,2,1,11,1
218,2007-06-13 10:30:00,18,-0.68,-0.68,1,0,0,1,0,0,0,1,0,2007,24,2,1,-10,-1
219,2007-06-14 08:30:00,69_49_16,-0.2400000000000001,-0.2500000000000001,3,3,0,6,0,0,1,1,1,2007,24,3,3,-2,0
220,2007-06-14 10:30:00,46,1.32,1.32,1,0,0,1,0,0,0,1,0,2007,24,3,1,-9,0
221,2007-06-15 08:30:00,21_13_8_19,1.7200000000000002,1.4999999999999998,0,6,3,7,2,0,1,0,3,2007,24,4,4,29,2
222,2007-06-15 09:00:00,66,0.6000000000000001,-0.5700000000000001,0,3,0,0,0,3,1,0,0,2007,24,4,1,-1,0
