,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
4103,2014-09-29 10:00:00,50,-0.5,0,-1.04,0,0,0,2,2,0,0,0,0,1,2014,40,0,1,10,-4,-20,1
4104,2014-09-30 09:00:00,65,-1.51,1,0.0,0,0,0,1,1,0,0,0,1,0,2014,40,1,1,26,13,-9,0
4105,2014-09-30 09:45:00,10,-0.3,0,0.0,0,0,0,2,2,0,0,0,0,1,2014,40,1,1,30,15,-11,0
4106,2014-09-30 10:00:00,6,-7.4399999999999995,3,2.61,3,0,0,3,0,3,0,1,0,0,2014,40,1,1,37,9,-7,0
4107,2014-10-01 01:00:00,67,-0.85,1,0.0,0,0,0,1,1,0,0,0,1,0,2014,40,2,1,10,-7,-4,0
4108,2014-10-01 08:15:00,0,-0.42000000000000004,0,-0.63,0,3,0,0,3,0,0,1,0,0,2014,40,2,1,21,10,-11,0
4109,2014-10-01 09:45:00,29,-3.04,1,0.0,1,0,0,1,1,0,0,0,1,0,2014,40,2,1,15,-1,-7,0
4110,2014-10-01 10:00:00,11_38_39,-6.269999999999999,4,-1.3,1,0,1,4,4,0,1,1,2,0,2014,40,2,3,34,8,-31,1
4111,2014-10-01 10:30:00,18,-1.64,0,0.0,0,2,0,0,2,0,0,0,0,1,2014,40,2,1,37,5,-20,1
4112,2014-10-02 08:30:00,69,2.2199999999999998,3,-8.49,0,0,3,0,3,0,0,1,0,0,2014,40,3,1,24,-6,-16,0
4113,2014-10-02 10:00:00,24,-3.82,2,0.0,0,0,0,2,2,0,0,0,0,1,2014,40,3,1,56,-5,-14,0
4114,2014-10-02 10:30:00,46,-1.53,0,0.0,0,1,0,0,1,0,0,0,1,0,2014,40,3,1,44,-31,-5,0
4115,2014-10-03 08:30:00,68_48_70_3,2.3100000000000005,8,17.91,3,0,9,2,6,5,0,3,0,1,2014,40,4,4,94,-23,-33,1
4116,2014-10-03 09:45:00,30,0.65,1,-0.7,0,0,1,0,1,0,0,0,1,0,2014,40,4,1,36,0,-11,0
4117,2014-10-03 10:00:00,40,-0.30000000000000004,0,0.0,0,3,0,0,3,0,0,1,0,0,2014,40,4,1,39,-18,-10,0
4118,2014-10-07 10:00:00,37_43,0.43000000000000005,4,-1.38,2,0,2,1,3,0,0,0,1,1,2014,41,1,2,40,21,-11,0
4119,2014-10-07 15:00:00,12,-1.16,1,-2.02,2,0,0,1,0,0,1,0,1,0,2014,41,1,1,22,16,-2,0
