,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
107,2007-04-30 09:45:00,10,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,18,0,1,8,6,6,4,6,0,5,-2,3,0,6,-4,17,8,39,1
108,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,5,-2,3,0,6,-4,5,4,3,0,6,-5,24,16,45,1
109,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,3,1,2,0,4,-3,3,-1,3,1,3,1,9,-5,15,0
110,2007-05-02 08:15:00,0,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,18,2,1,7,4,5,0,3,-2,4,-1,4,3,3,-1,15,12,17,0
111,2007-05-02 10:00:00,24,2.0,0,2.0,0,0,2,0,0,2,0,0,0,1,2007,18,2,1,11,-10,9,-1,6,5,4,0,8,8,13,5,15,8,1,0
112,2007-05-02 10:30:00,18,-0.25,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,2,1,8,7,7,-5,4,0,6,-4,5,-3,2,0,34,10,13,0
113,2007-05-03 10:00:00,40,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,18,3,1,16,-12,7,4,6,1,4,-3,12,-9,6,4,20,-18,11,0
114,2007-05-03 10:30:00,46,-3.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,3,1,3,1,3,2,2,0,5,2,7,6,3,-3,35,-26,6,0
115,2007-05-07 15:00:00,12,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,0,1,4,3,4,-3,6,-3,3,2,2,0,2,0,11,-6,3,0
116,2007-05-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,1,1,5,2,5,-1,21,-21,18,-12,9,5,7,-2,9,1,14,0
117,2007-05-09 10:30:00,18,-2.95,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,2,1,5,-4,3,-1,3,2,3,-3,4,4,4,0,12,-4,2,0
118,2007-05-09 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,19,2,1,28,-27,9,3,8,2,8,-1,6,-3,6,-3,11,7,2,0
119,2007-05-10 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,3,1,3,-1,3,2,2,0,5,-5,2,2,4,3,16,9,3,0
120,2007-05-10 14:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,19,3,1,6,5,3,0,2,0,3,0,1,1,4,3,22,-13,8,0
121,2007-05-11 10:00:00,5,2.0,0,2.0,0,0,2,0,0,2,0,0,0,1,2007,19,4,1,5,2,3,0,4,-2,3,2,6,4,6,5,18,11,5,0
122,2007-05-15 09:00:00,66,3.0,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,20,1,1,13,-9,8,-2,3,2,2,1,3,-2,5,-4,31,20,64,1
123,2007-05-15 10:00:00,37,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,20,1,1,5,3,3,-2,3,0,4,1,6,4,5,2,19,-11,33,1
124,2007-05-15 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,20,1,1,3,1,6,-3,3,-2,3,1,3,0,3,-1,7,-1,2,0
125,2007-05-16 10:30:00,18,-0.61,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,2,1,3,-1,2,1,4,4,2,-2,5,2,4,0,12,-3,1,0
126,2007-05-17 08:30:00,69,0.93,1,-0.61,0,0,1,0,1,0,0,0,1,0,2007,20,3,1,19,-18,6,1,8,-7,9,-7,6,5,7,3,19,-4,1,0
127,2007-05-17 10:00:00,7,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,20,3,1,11,-3,5,-1,7,6,4,-1,4,-2,5,5,13,0,5,0
128,2007-05-17 10:30:00,46,-0.72,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,3,1,5,-1,6,-3,2,0,4,0,3,-2,7,4,12,5,10,0
129,2007-05-17 12:00:00,53,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,20,3,1,6,-1,5,3,7,5,3,-3,6,5,5,-2,9,1,3,0
