,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_240_after,reaction_max_60_240_after
116,2007-05-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,1,1,5,2,5,-1,21,-21,18,-12,9,5,7,-2,8,5,9,1,17,0
117,2007-05-09 10:30:00,18,-2.95,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,2,1,5,-4,3,-1,3,2,3,-3,4,4,4,0,3,0,12,-4,6,0
118,2007-05-09 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,19,2,1,28,-27,9,3,8,2,8,-1,6,-3,6,-3,7,-2,11,7,2,0
119,2007-05-10 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,3,1,3,-1,3,2,2,0,5,-5,2,2,4,3,16,-12,16,9,11,0
120,2007-05-10 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,19,3,1,6,5,3,0,2,0,3,0,1,1,4,3,4,3,22,-13,5,0
121,2007-05-11 10:00:00,5,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,19,4,1,5,2,3,0,4,-2,3,2,6,4,6,5,12,-6,18,11,9,0
122,2007-05-15 09:00:00,66,1.0,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,20,1,1,13,-9,8,-2,3,2,2,1,3,-2,5,-4,7,5,31,20,59,1
123,2007-05-15 10:00:00,37,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,20,1,1,5,3,3,-2,3,0,4,1,6,4,5,2,34,32,19,-11,1,0
124,2007-05-15 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,20,1,1,3,1,6,-3,3,-2,3,1,3,0,3,-1,4,-1,7,-1,3,0
125,2007-05-16 10:30:00,18,-0.61,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,2,1,3,-1,2,1,4,4,2,-2,5,2,4,0,49,-41,12,-3,6,0
