actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
464K,USD,2008-10-27 10:00:00,452K,better,High,New Home Sales,452K,worse,44,2008-10-27 14:00:00+00:00,-2.65,2008,4,10,Monday
-16.6%,USD,2008-10-28 09:00:00,-16.6%,accurate,Low,S&P/CS Composite-20 HPI y/y,-16.3%,accurate,44,2008-10-28 13:00:00+00:00,0.0,2008,4,10,Tuesday
38.0,USD,2008-10-28 10:00:00,52.2,worse,High,CB Consumer Confidence,61.4,better,44,2008-10-28 14:00:00+00:00,27.2,2008,4,10,Tuesday
-26,USD,2008-10-28 10:03:00,-21,worse,Low,Richmond Manufacturing Index,-18,accurate,44,2008-10-28 14:05:00+00:00,23.81,2008,4,10,Tuesday
-1.1%,USD,2008-10-29 08:30:00,-1.5%,better,High,Core Durable Goods Orders m/m,-4.1%,worse,44,2008-10-29 12:30:00+00:00,-26.67,2008,4,10,Wednesday
0.8%,USD,2008-10-29 08:30:00,-1.2%,better,Medium,Durable Goods Orders m/m,-5.5%,worse,44,2008-10-29 12:30:00+00:00,-166.67,2008,4,10,Wednesday
0.5M,USD,2008-10-29 10:35:00,1.4M,accurate,Medium,Crude Oil Inventories,3.2M,accurate,44,2008-10-29 14:35:00+00:00,64.29,2008,4,10,Wednesday
1.00%,USD,2008-10-29 14:18:00,1.00%,accurate,High,Federal Funds Rate,1.50%,accurate,44,2008-10-29 18:20:00+00:00,0.0,2008,4,10,Wednesday
-0.3%,USD,2008-10-30 08:30:00,-0.5%,better,High,Advance GDP q/q,2.8%,better,44,2008-10-30 12:30:00+00:00,-40.0,2008,4,10,Thursday
4.2%,USD,2008-10-30 08:30:00,4.0%,better,Medium,Advance GDP Price Index q/q,1.1%,accurate,44,2008-10-30 12:30:00+00:00,-5.0,2008,4,10,Thursday
479K,USD,2008-10-30 08:30:00,476K,accurate,Medium,Unemployment Claims,479K,accurate,44,2008-10-30 12:30:00+00:00,-0.63,2008,4,10,Thursday
46B,USD,2008-10-30 10:35:00,41B,accurate,Low,Natural Gas Storage,70B,accurate,44,2008-10-30 14:35:00+00:00,-12.2,2008,4,10,Thursday
0.2%,USD,2008-10-31 08:30:00,0.1%,better,Medium,Core PCE Price Index m/m,0.2%,accurate,44,2008-10-31 12:30:00+00:00,-100.0,2008,4,10,Friday
0.7%,USD,2008-10-31 08:30:00,0.7%,accurate,Medium,Employment Cost Index q/q,0.7%,accurate,44,2008-10-31 12:30:00+00:00,0.0,2008,4,10,Friday
-0.3%,USD,2008-10-31 08:30:00,-0.2%,worse,Medium,Personal Spending m/m,0.0%,accurate,44,2008-10-31 12:30:00+00:00,50.0,2008,4,10,Friday
