,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
1476,2009-11-25 10:30:00,18,75.0,-0.730309458207619,0.0,75.0,-0.730309458207619,2,0,0,2,0,0,0,0,1,1
1477,2009-11-25 12:00:00,46,88.24,1.5824512070132304,0.0,88.24,1.5824512070132304,1,0,0,1,0,0,0,1,0,1
1478,2009-11-30 09:45:00,10,15.18,0.9287285865072985,0.0,15.18,0.9287285865072985,0,3,0,3,0,0,1,0,0,1
1479,2009-12-01 00:00:00,67,3.81,-0.12651894266955796,0.0,3.81,-0.12651894266955796,0,1,0,1,0,0,0,1,0,1
1481,2009-12-02 08:15:00,0,-40.26,0.43002992979964544,11.82,-28.44,-0.05163911295537513,0,0,3,0,3,0,1,0,0,1
1482,2009-12-02 10:30:00,18,-1250.0,-3.1652314174970098,0.0,-1250.0,-3.1652314174970098,2,0,0,2,0,0,0,0,1,1
1484,2009-12-03 10:00:00,40,-16.86,-3.8828843464992024,0.0,-16.86,-3.8828843464992038,0,0,3,3,0,0,1,0,0,1
1485,2009-12-03 10:30:00,46,-100.0,-1.2862568903283598,0.0,-100.0,-1.2862568903283598,1,0,0,1,0,0,0,1,0,1
1487,2009-12-04 10:00:00,24,1000.0,2.654612962650248,155.56,1155.56,2.6571376050017492,0,2,0,0,2,0,0,0,1,1
1488,2009-12-07 15:00:00,12,63.54,0.9196858486256776,40.54,104.08,0.9833733224903752,0,1,0,0,1,0,0,1,0,1
