,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
150,2007-04-25 10:00:00,47,-32.0,0,-12.0,0,0,0,1,0,0,1,1,0,0,2007,17,2,1,24,0,17,2
151,2007-04-25 10:30:00,18,1.22,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,34,17,1,1
152,2007-04-26 08:30:00,69,-0.28,0,4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,18,2,13,2
153,2007-04-26 10:30:00,46,-3.51,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,16,-1,3,1
154,2007-04-27 08:30:00,2_1_22,0.30000000000000004,0,0.0,0,0,1,2,1,1,1,1,0,2,2007,17,4,3,43,8,14,2
155,2007-04-27 10:00:00,63,1.0,0,-3.1,0,0,1,0,1,0,0,0,0,1,2007,17,4,1,21,1,-8,1
156,2007-04-30 08:30:00,15_52_51,0.7,0,2.0,0,0,1,2,1,2,0,1,1,1,2007,18,0,3,22,5,7,1
157,2007-04-30 09:45:00,10,-1.6,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,18,0,1,17,1,10,2
158,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,24,18,-3,1
159,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,9,-5,-1,1
160,2007-05-01 10:00:00,38_50_39,-3.0,0,1.0,0,0,2,1,2,1,0,2,1,0,2007,18,1,3,28,-1,-28,0
161,2007-05-02 08:15:00,0,-43.0,0,-8.0,0,0,0,1,0,0,1,1,0,0,2007,18,2,1,25,17,4,1
162,2007-05-02 10:00:00,24,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,18,2,1,17,9,4,1
163,2007-05-02 10:30:00,18,-0.1,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,2,1,35,13,-8,1
164,2007-05-03 08:30:00,69_56_57,-3.5300000000000002,1,10.78,1,0,1,2,0,2,1,0,1,2,2007,18,3,3,20,11,-23,0
165,2007-05-03 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,18,3,1,36,-15,-20,0
166,2007-05-03 10:30:00,46,1.68,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,3,1,35,-30,10,2
167,2007-05-04 08:30:00,48_70_3,-19.1,0,-3.0,0,1,0,2,3,0,0,2,0,1,2007,18,4,3,30,-5,23,2
168,2007-05-07 15:00:00,12,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,0,1,11,-7,0,1
169,2007-05-08 10:00:00,31,-0.1,0,-0.1,0,0,1,0,0,1,0,0,1,0,2007,19,1,1,9,-1,-30,0
170,2007-05-09 10:30:00,18,1.75,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,2,1,12,-7,-5,1
171,2007-05-09 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,19,2,1,29,6,-27,0
172,2007-05-10 08:30:00,68_69_41,-4.29,1,1.4600000000000002,0,0,2,1,2,0,1,1,1,1,2007,19,3,3,19,4,-25,0
173,2007-05-10 10:30:00,46,2.41,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,3,1,16,3,-3,1
174,2007-05-10 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,19,3,1,12,5,5,1
175,2007-05-11 08:30:00,17_60_49_16,-0.3000000000000001,0,2.0,0,0,1,3,2,2,0,3,0,1,2007,19,4,4,18,11,-5,1
176,2007-05-11 10:00:00,5,-0.3,0,-0.1,0,0,1,0,0,1,0,0,0,1,2007,19,4,1,18,10,5,1
177,2007-05-15 08:30:00,21_13_8,-1.1,0,0.0,0,1,0,2,3,0,0,1,0,2,2007,20,1,3,32,7,14,2
178,2007-05-15 09:00:00,66,-4.4,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,20,1,1,30,22,-11,0
179,2007-05-15 10:00:00,37,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,20,1,1,10,-1,7,1
180,2007-05-15 13:00:00,44,-3.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,20,1,1,7,0,-2,1
181,2007-05-16 08:30:00,4_36,0.91,0,0.97,0,0,1,1,0,1,1,0,0,2,2007,20,2,2,21,-17,-5,1
182,2007-05-16 09:15:00,9_42,2.0,0,-0.30000000000000004,0,0,2,0,0,0,2,0,0,2,2007,20,2,2,21,5,-8,1
183,2007-05-16 10:30:00,18,0.38,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,2,1,12,-1,2,1
184,2007-05-17 08:30:00,69,-0.93,1,0.61,0,0,1,0,1,0,0,0,1,0,2007,20,3,1,36,-4,-23,0
185,2007-05-17 10:00:00,7,-0.4,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,20,3,1,13,-3,-3,1
186,2007-05-17 10:30:00,46,-0.72,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,3,1,15,7,-6,1
187,2007-05-17 12:00:00,53,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,20,3,1,10,1,8,1
188,2007-05-18 10:00:00,58,1.0,0,1.0,0,0,1,0,0,1,0,1,0,0,2007,20,4,1,10,4,4,1
189,2007-05-22 10:00:00,64,-4.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,21,1,1,7,-2,13,2
190,2007-05-23 10:30:00,18,0.53,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,2,1,11,-4,3,1
191,2007-05-24 08:30:00,69_14_20,1.09,0,1.53,1,0,1,2,1,1,1,1,0,2,2007,21,3,3,19,11,-9,1
192,2007-05-24 10:00:00,47,1.0,0,-14.0,0,0,1,0,0,0,1,1,0,0,2007,21,3,1,33,3,-23,0
193,2007-05-24 10:30:00,46,2.64,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,3,1,35,-26,8,1
